~from,~to,~label
YDO3IY3SXD,6863b2f8-a5ed-4ac9-a9d6-a94ab5c28714,residence
KD1IFD1N7K,6863b2f8-a5ed-4ac9-a9d6-a94ab5c28714,residence
KD1IFD1N7K,8bc266a6-8527-40c6-8f98-af284f11d218,residence
YDO3IY3SXD,8bc266a6-8527-40c6-8f98-af284f11d218,residence
17A2WPJBF8,5ab4a799-a1a9-437a-8cb6-f04d0c384090,residence
2NA0T1ZH4C,87085c96-a3a7-4bdb-8ac6-9940e27b68ce,residence
77AYOOLYNY,8f6fe023-2beb-4e70-8bec-1bff40d6cdc5,residence
NKGYXBD2PY,3f63ba0a-0d82-4a59-bcf6-e28317e98e44,residence
4L5V28OKL2,bde44069-5571-40e1-ab5f-d53c648faeab,residence
R7775V5VFA,6d434fb9-3793-4c5d-b9de-6acf59156ea4,residence
X66KC1ZOM7,18abfa08-f31b-42b9-8266-728e4b75c701,residence
MJYLHBVQY4,18abfa08-f31b-42b9-8266-728e4b75c701,residence
MJYLHBVQY4,68859c0f-67cc-4ddc-affc-2aec42aea86b,residence
X66KC1ZOM7,68859c0f-67cc-4ddc-affc-2aec42aea86b,residence
X2BRZAI50X,98ce4b0a-3aba-4d0b-8a78-32207394d783,residence
0PDNLVIHJ7,0c0ef1e7-0d81-4678-9d7f-59b1e65aaf91,residence
N8ZK863VAR,9b195fdc-b9f7-4257-86c0-bd65144891c0,residence
GEIW0B2D2O,6d539348-1f01-4678-bcb5-1b87cc0673ed,residence
WXODFKVH45,6d539348-1f01-4678-bcb5-1b87cc0673ed,residence
WXODFKVH45,b4c3b4b2-e292-4c37-9a19-b2a998667aa5,residence
GEIW0B2D2O,b4c3b4b2-e292-4c37-9a19-b2a998667aa5,residence
N3J9OH0WSO,88a84ae7-8c0c-46b2-905c-8c074c8eac6b,residence
C0XYH0G3CW,88a84ae7-8c0c-46b2-905c-8c074c8eac6b,residence
C0XYH0G3CW,bb396448-cf64-4d70-b47b-12a566230cad,residence
N3J9OH0WSO,bb396448-cf64-4d70-b47b-12a566230cad,residence
EZQT75SCYU,20f38492-1e4c-40c9-8380-f6621e5be300,residence
FPBTDVITJM,20f38492-1e4c-40c9-8380-f6621e5be300,residence
FPBTDVITJM,c8b4ae21-33ce-44b7-b11f-3a7298e4c743,residence
EZQT75SCYU,c8b4ae21-33ce-44b7-b11f-3a7298e4c743,residence
LRBDRGY23U,1efbfa92-b403-498f-a07b-9e15b4cf46dc,residence
7LY70QFX2L,1efbfa92-b403-498f-a07b-9e15b4cf46dc,residence
7LY70QFX2L,f24468c5-e387-428e-b09e-439140ef9ff5,residence
LRBDRGY23U,f24468c5-e387-428e-b09e-439140ef9ff5,residence
48P92LTRWI,41bb41e1-6349-453d-bdef-be13b9c7fc13,residence
NNQMWWO6Q1,702d4941-df41-4a41-9fe4-656214f46c11,residence
JPVJ2G7UCJ,a1dbacf2-e4d6-4164-bfce-6464ca79b299,residence
EETU154NUL,a1dbacf2-e4d6-4164-bfce-6464ca79b299,residence
EETU154NUL,293ceb5e-bcf9-4b5f-aa67-cc7a035c94ac,residence
JPVJ2G7UCJ,293ceb5e-bcf9-4b5f-aa67-cc7a035c94ac,residence
IC738PMB71,64351422-26e7-4fea-ad3a-a88041fb3d71,residence
