~from,~to,~label
+1 4053720461713,801376641705973,primary_mobile
+1 2573593431959,276600080735659,primary_mobile
+1 6158929847148,476601958964378,primary_mobile
+1 3095251809191,152056573621051,primary_mobile
+1 2710254946469,819471934655050,primary_mobile
+1 2609565990769,679314572680755,primary_mobile
+1 3148750146469,361214528485520,primary_mobile
+1 6748160381612,492079956732798,primary_mobile
+1 5467480690551,462450806137079,primary_mobile
+1 0769910142747,162759909542294,primary_mobile
+1 4873803108742,802283307167752,primary_mobile
+1 1924556727042,186312233070285,primary_mobile
+1 3188171434905,692570024471471,primary_mobile
+1 1763753451884,557030012977723,primary_mobile
+1 7372228085894,973701647093326,primary_mobile
+1 1324350307678,922029287200047,primary_mobile
+1 4606402452613,880279780322376,primary_mobile
+1 5393898918002,615287860833741,primary_mobile
+1 5541382087115,424037121535548,primary_mobile
+1 7300493736730,367962435501068,primary_mobile
+1 8717411728889,899987560839575,primary_mobile
+1 1450822974145,227510595335116,primary_mobile
+1 8504815369403,581408531116734,primary_mobile
+1 3062896659616,820005051372100,primary_mobile
+1 4938604849402,168716828299747,primary_mobile
+1 0059798659208,917123869283802,primary_mobile
+1 7804647923643,739675047072600,primary_mobile
+1 8671665527713,656829895536672,primary_mobile
+1 7814781251514,212513946386271,primary_mobile
+1 2003119390332,528404927358967,primary_mobile
+1 8389441440786,653787649834059,primary_mobile
+1 4482877185963,503595522837695,primary_mobile
+1 6896758280260,809304523174030,primary_mobile
+1 5891970450064,485755165183837,primary_mobile
+1 8665110784835,230670960466765,primary_mobile
+1 0502275080357,372859408398039,primary_mobile
+1 7636776992552,786397466138919,primary_mobile
+1 3941658922011,226593469285679,primary_mobile
+1 2679739694631,830103401511457,primary_mobile
+1 7913582825185,798148354403021,primary_mobile
+1 7987969970768,871494947913383,primary_mobile
+1 4868768947897,311387537667966,primary_mobile
+1 9870273026800,784634859769819,primary_mobile
+1 1916944300326,391320844845152,primary_mobile
+1 9990139196241,378350628898042,primary_mobile
+1 6972315542669,884797813836704,primary_mobile
+1 2464196309940,521076745926902,primary_mobile
+1 9136759311009,672488705894121,primary_mobile
+1 4050961775319,727307082149388,primary_mobile
+1 5197369622368,522141946939779,primary_mobile
+1 3303841372390,232493139159465,primary_mobile
+1 0023662861386,729125447142048,primary_mobile
+1 2063992853045,948832620887495,primary_mobile
+1 9933726337962,907504293249027,primary_mobile
+1 4775400286380,570859768800458,primary_mobile
+1 7530344515697,149025228802907,primary_mobile
+1 3347895007691,118682318222679,primary_mobile
+1 1132876001675,508771253802061,primary_mobile
+1 3886481949380,414636435543449,primary_mobile
+1 3226284570406,462119414016204,primary_mobile
+1 3846225814720,726978709253980,primary_mobile
+1 5865727006043,916567150574307,primary_mobile
+1 0345585360395,144941984911698,primary_mobile
+1 5183293722143,911088153229859,primary_mobile
+1 0985387972835,544298532382806,primary_mobile
+1 5976654984079,204691874289658,primary_mobile
+1 5541382087115,592017143896994,primary_mobile
+1 2051521475836,755974092283312,primary_mobile
+1 7625764675529,581776663027952,primary_mobile
+1 8271440868701,627480268248137,primary_mobile
+1 7664712888282,394732349126564,primary_mobile
+1 1872561984601,293676950698388,primary_mobile
+1 7179904174070,575423782642610,primary_mobile
+1 1956363592483,340015540321567,primary_mobile
+1 3410937472538,137334668583551,primary_mobile
