~id,name,gender,marital_status,spouse_name,phone_number,email,annual_income:Int,type,revenue:Int,occupation,blacklisted:Boolean,created_at:Long,last_active:Long,~label
YDO3IY3SXD,Carrie Odonnell,Female,Married,Rachel Carpenter,+1 -882-276-9248x506,carrie.odonnell@protonmail.com,231448,individual,0,"Civil engineer, contracting",False,1675359434683,1743516392707,Customer
KD1IFD1N7K,Rachel Carpenter,Female,Married,Carrie Odonnell,+1 001-811-439-9666x3490,rachel.carpenter@yahoo.com,0,business,3395883,Air cabin crew,False,1694055468193,1742878625253,Customer
17A2WPJBF8,Jason Gregory,Male,Single,,+1 -375-735-8033x741,jason.gregory@fakemail.com,677127,individual,0,Multimedia specialist,False,1626049129503,1743323913300,Customer
2NA0T1ZH4C,Eric Phelps,Male,Single,,+1 001-831-246-0139,eric.phelps@fakemail.com,998003,individual,0,Facilities manager,False,1701394230854,1737128737649,Customer
77AYOOLYNY,Larry Munoz,Male,Single,,+1 8657547946,larry.munoz@yahoo.com,857791,individual,0,"Conservation officer, nature",False,1603060421761,1742130004859,Customer
NKGYXBD2PY,Holly Sanchez,Female,Single,,+1 468.599.3103,holly.sanchez@gmail.com,0,business,48360715,Personal assistant,False,1697973424302,1743494502959,Customer
4L5V28OKL2,Dale Evans,Male,Single,,+1 (675)783-3848,dale.evans@gmail.com,339671,individual,0,Further education lecturer,False,1626035400117,1743214756455,Customer
R7775V5VFA,Donald Hood,Male,Divorced,,+1 (441)607-1948x991,donald.hood@outlook.com,843033,individual,0,Child psychotherapist,False,1732190798982,1739155424534,Customer
X66KC1ZOM7,Jessica Park,Female,Married,William Garcia,+1 843-832-5907,jessica.park@outlook.com,0,business,15195856,Engineering geologist,True,1589101568562,1736185522523,Customer
MJYLHBVQY4,William Garcia,Male,Married,Jessica Park,+1 4399228128,william.garcia@fakemail.com,434949,individual,0,Environmental consultant,False,1716941515685,1737309418422,Customer
X2BRZAI50X,Jennifer Benton,Female,Single,,+1 884.877.1965x6970,jennifer.benton@tempmail.net,989376,individual,0,Geochemist,False,1608491406941,1743717593825,Customer
0PDNLVIHJ7,Sheila Keith,Female,Single,,+1 409.694.6156x079,sheila.keith@fakemail.com,534843,individual,0,Warden/ranger,False,1712834414498,1740056745863,Customer
