~id,~label
+1 4053720461713,Mobile
+1 4322745983235,Mobile
+1 6158929847148,Mobile
+1 4632968302625,Mobile
+1 2710254946469,Mobile
+1 5843783395764,Mobile
+1 3148750146469,Mobile
+1 6748160381612,Mobile
+1 1812195307287,Mobile
+1 0769910142747,Mobile
+1 2734080219649,Mobile
+1 1924556727042,Mobile
+1 3188171434905,Mobile
+1 1763753451884,Mobile
+1 7372228085894,Mobile
+1 0085756429745,Mobile
+1 4606402452613,Mobile
+1 2532435718202,Mobile
+1 9800065271784,Mobile
+1 7300493736730,Mobile
+1 8717411728889,Mobile
+1 1450822974145,Mobile
+1 8504815369403,Mobile
+1 3062896659616,Mobile
+1 4938604849402,Mobile
+1 0059798659208,Mobile
+1 7804647923643,Mobile
+1 8671665527713,Mobile
+1 7814781251514,Mobile
+1 2003119390332,Mobile
+1 8389441440786,Mobile
+1 4482877185963,Mobile
+1 6896758280260,Mobile
+1 5891970450064,Mobile
+1 8665110784835,Mobile
+1 0502275080357,Mobile
+1 7636776992552,Mobile
+1 3941658922011,Mobile
+1 2679739694631,Mobile
+1 7913582825185,Mobile
+1 7987969970768,Mobile
+1 4868768947897,Mobile
+1 9870273026800,Mobile
+1 1916944300326,Mobile
+1 9990139196241,Mobile
+1 6972315542669,Mobile
+1 2464196309940,Mobile
+1 9136759311009,Mobile
+1 4050961775319,Mobile
+1 5197369622368,Mobile
+1 3303841372390,Mobile
+1 0023662861386,Mobile
+1 2063992853045,Mobile
+1 9933726337962,Mobile
+1 4775400286380,Mobile
+1 7530344515697,Mobile
+1 3347895007691,Mobile
+1 1132876001675,Mobile
+1 3886481949380,Mobile
+1 3226284570406,Mobile
+1 3846225814720,Mobile
+1 5865727006043,Mobile
+1 0345585360395,Mobile
+1 5183293722143,Mobile
+1 0985387972835,Mobile
+1 5976654984079,Mobile
+1 6381332426988,Mobile
+1 2051521475836,Mobile
+1 7625764675529,Mobile
+1 8271440868701,Mobile
+1 7664712888282,Mobile
+1 1872561984601,Mobile
+1 7179904174070,Mobile
+1 1956363592483,Mobile
+1 3410937472538,Mobile
+1 3301086879997,Mobile
+1 1599646421661,Mobile
+1 7096657544842,Mobile
+1 3169948231194,Mobile
+1 2595663683547,Mobile
+1 2235574956170,Mobile
+1 6406612830477,Mobile
+1 5649221440174,Mobile
+1 8190396819016,Mobile
+1 1989146639866,Mobile
