~id,issued_ctry,issued_date:Long,date_of_birth:Long,name,address,~label
009-26-6160,China,1584330807846,264943315110,Sarah Michael,대구광역시 서구 논현39길 690,National_ID
900725-1059679,China,1027876644120,253591348901,Derek Browning,서울특별시 중구 역삼1로 615-27 (혜진김허면),National_ID
8-3411-61811-37-3,China,1111806791115,77545922711,Chad Barber,106 中村 Street,National_ID
5-3009-36557-70-1,China,863609866400,254255363086,Dustin Winters,哈尔滨街x座,National_ID
889-28-1211,China,1121367174093,466948161578,Michael Bailey,哈尔滨街x座,National_ID
660826-2718604,China,1274669272524,485281182537,Bradley Singh PhD,대전광역시 동구 학동가 962,National_ID
230207195812181232,China,968794495571,1173532070449,Alexandria Cooke DVM,417/4 ถนนถนอมมนุษย์,National_ID
6-1107-09510-92-4,China,1330245575107,-622134111265,Michael Kramer,77 หมู่ 5 ถ.บัวเผื่อน,National_ID
8-6707-55930-74-6,China,1068597932439,1026909124670,Monica Ellison,嘉禾路L座,National_ID
059-48-5178,China,1309454399146,718978112219,Patrick Campbell,353 佐藤 Street,National_ID
2-6908-44115-32-1,China,929102968450,-448873632798,Monica Barry,부산광역시 영등포구 반포대길 160 (재호송면),National_ID
3-8902-16828-90-0,China,864839807151,617433368069,Patrick Carlson,부산광역시 영등포구 반포대길 160 (재호송면),National_ID
